TIME 0.001010, pos: 8.750000e-03 0.000000e+00, Found 4958
baricenter: (0.008500000000000035, -0.0004999999999999653, 0.0)
TIME 0.001020, pos: 8.743039e-03 4.375166e-04, Found 5058
baricenter: (0.008500000000000035, 0.0005000000000000347, 0.0)
TIME 0.001030, pos: 8.714204e-03 8.743368e-04, Found 5058
baricenter: (0.008500000000000035, 0.0005000000000000347, 0.0)
TIME 0.001040, pos: 8.663550e-03 1.309367e-03, Found 5158
baricenter: (0.008500000000000035, 0.0015000000000000347, 0.0)
TIME 0.001050, pos: 8.591181e-03 1.741519e-03, Found 5158
baricenter: (0.008500000000000035, 0.0015000000000000347, 0.0)
TIME 0.001060, pos: 8.497260e-03 2.169707e-03, Found 5258
baricenter: (0.008500000000000035, 0.0025000000000000347, 0.0)
TIME 0.001070, pos: 8.382001e-03 2.592857e-03, Found 5258
baricenter: (0.008500000000000035, 0.0025000000000000347, 0.0)
TIME 0.001080, pos: 8.245675e-03 3.009906e-03, Found 5358
baricenter: (0.008500000000000035, 0.0035000000000000348, 0.0)
TIME 0.001090, pos: 8.088602e-03 3.419806e-03, Found 5358
baricenter: (0.008500000000000035, 0.0035000000000000348, 0.0)
TIME 0.001100, pos: 7.911157e-03 3.821524e-03, Found 5357
baricenter: (0.007500000000000034, 0.0035000000000000348, 0.0)
TIME 0.001110, pos: 7.713765e-03 4.214049e-03, Found 5457
baricenter: (0.007500000000000034, 0.004500000000000035, 0.0)
TIME 0.001120, pos: 7.496903e-03 4.596390e-03, Found 5457
baricenter: (0.007500000000000034, 0.004500000000000035, 0.0)
TIME 0.001130, pos: 7.261094e-03 4.967581e-03, Found 5457
baricenter: (0.007500000000000034, 0.004500000000000035, 0.0)
TIME 0.001140, pos: 7.006911e-03 5.326685e-03, Found 5557
baricenter: (0.007500000000000034, 0.005500000000000034, 0.0)
TIME 0.001150, pos: 6.734974e-03 5.672790e-03, Found 5556
baricenter: (0.006500000000000035, 0.005500000000000034, 0.0)
TIME 0.001160, pos: 6.445947e-03 6.005021e-03, Found 5656
baricenter: (0.006500000000000035, 0.006500000000000034, 0.0)
TIME 0.001170, pos: 6.140537e-03 6.322534e-03, Found 5656
baricenter: (0.006500000000000035, 0.006500000000000034, 0.0)
TIME 0.001180, pos: 5.819494e-03 6.624521e-03, Found 5655
baricenter: (0.005500000000000035, 0.006500000000000034, 0.0)
TIME 0.001190, pos: 5.483607e-03 6.910212e-03, Found 5655
baricenter: (0.005500000000000035, 0.006500000000000034, 0.0)
TIME 0.001200, pos: 5.133701e-03 7.178879e-03, Found 5755
baricenter: (0.005500000000000035, 0.007500000000000034, 0.0)
TIME 0.001210, pos: 4.770641e-03 7.429833e-03, Found 5754
baricenter: (0.004500000000000035, 0.007500000000000034, 0.0)
TIME 0.001220, pos: 4.395322e-03 7.662432e-03, Found 5754
baricenter: (0.004500000000000035, 0.007500000000000034, 0.0)
TIME 0.001230, pos: 4.008672e-03 7.876076e-03, Found 5754
baricenter: (0.004500000000000035, 0.007500000000000034, 0.0)
TIME 0.001240, pos: 3.611647e-03 8.070215e-03, Found 5853
